Patent_ID,Patentee_ID,Title,Subject,Inventor,Expense in US$,Patent_Attorney_ID,Patent_Examiner_ID,Office_ID,Opposition_Filled_Status,Filling_Language,Validation_States
171203,102038,"The world before sports: hunting, gathering and ritual games",Computer Science,Mark M. Carhart,666419,345001,500001,,0,Greek,Expired
171211,100812,The development of sports. The first known types of sports,Computer Science,"Andrei Shleifer, Robert W. Vishny",426064,345002,500002,,0,English,Expired
171212,101251,The role of sports in the developing of children. The playing instinct,Computer Science,"Rafael La Porta, Florencio Lopez-De-Silanes, Andrei Shleifer",449805,345003,500003,,0,English,Expired
171216,101960,Child games: how do little humans invent their own sports?,Computer Science,"NARASIMHAN JEGADEESH, SHERIDAN TITMAN",336141,345004,500004,,1,English,Approved
171220,100786,Women in sports: when and why they were not allowed to play sport games?,Computer Science,"EUGENE F. FAMA, KENNETH R. FRENCH",442824,345005,500005,,0,English,Expired
171222,102425,Steroids and drugs in sports. Is this a modern issue?,Computer Science,"RAFAEL LA PORTA, FLORENCIO LOPEZ-DE-SILANES, ANDREI SHLEIFER, ROBERT W. VISHNY",621576,345006,500006,,0,English,Expired
171227,100742,The history of Olympic games and their impact on the development of sport culture,Computer Science,MICHAEL C. JENSEN,949873,345007,500007,,1,English,Approved
171232,100657,Is professional sport harmful for health?,Computer Science,Edward I. Altman,994253,345008,500008,,0,English,Approved
171237,100796,Sport bets. A metaindustry of entertainment,Computer Science,"Kent Daniel, David Hirshleifer, Avanidhar Subrahmanyam",274330,345009,500009,,1,English,Expired
171241,100516,Sport injuries and professional traumas,Computer Science,"EUGENE F. FAMA, KENNETH R. FRENCH",292924,345010,500010,,0,English,Expired
171247,100401,Sport as political instrument,Computer Science,"WERNER F. M. De BONDT, RICHARD THALER",619123,345011,500011,,1,English,Approved
171253,101874,Corruption in sport,Computer Science,"LAWRENCE R. GLOSTEN, RAVI JAGANNATHAN, DAVID E. RUNKLE",760217,345012,500012,,0,English,Expired
171260,100551,Sport and gender. Transgender sportspeople,Computer Science,"Ronald C. Anderson, David M. Reeb",218593,345013,500013,,1,English,Approved
171264,100128,Sport and militaristic society,Computer Science,"RAGHURAM G. RAJAN, LUIGI ZINGALES",539408,345014,500014,,0,English,Approved
171269,101699,The impact of sports to the emotional well-being of a person,Computer Science,Harry Markowitz,580939,345015,500015,,1,English,Expired
171273,100043,Sports and physiological reactions,Computer Science,William Vickrey,341555,345016,500016,,1,English,Expired
171282,100446,What can be considered sport in the modern world?,Computer Science,"Andrei Shleifer, Robert W. Vishny",712118,345017,500017,,1,English,Expired
171290,102099,Professional and amateur sports,Computer Science,William F. Sharpe,729565,345018,500018,,0,English,Approved
171293,101201,Spectator sports and their impact on culture,Computer Science,"Ravi Bansal, Amir Yaron",893649,345019,500019,,0,English,Approved
171301,100420,Sports and media: why people who are not playing like to watch?,Computer Science,"MALCOLM BAKER, JEFFREY WURGLER",981005,345020,500020,,1,English,Expired
171302,100932,Sports and fan culture,Computer Science,"ANDREW ANG, ROBERT J. HODRICK, YUHANG XING, XIAOYAN ZHANG",224499,345021,500021,,1,English,Expired
171306,100941,Sports and aggression,Computer Science,"MITCHELL A. PETERSEN, RAGHURAM G. RAJAN",483259,345022,500022,,0,English,Expired
171310,100268,Paralympic games,Computer Science,"Harrison Hong, Jeremy C. Stein",247206,345023,500023,,0,English,Expired
