Patent_Examiner_ID,Name,Salary,Office_ID
500001,Hans von Aachen,1625000,1
500002,Magdalena Abakanowicz,1625000,2
500003,Pietro Giovanni Abbati,1625000,3
500004,Guido Ubaldo Abbatini,1625000,4
500005,Elfriede Martha Abbe,1625000,1
500006,William Parker Abbe,1625000,2
500007,Edwin Austin Abbey,1625000,3
500008,Giuseppe Abbiati,1625000,4
500009,Berenice Abbott,1625000,1
500010,John White Abbott,1625000,2
500011,Lemuel Francis Abbott,1625000,3
500012,Nobuya Abe,1625000,4
500013,Mike Abel,1625000,1
500014,Myer Abel,1625000,2
500015,Ida York Abelman,1625000,3
500016,Jacobus Theodorus Abels,1625000,4
500017,Antonio Abondio,1625000,1
500018,Elie Abrahami,1625000,2
500019,Albert Abramovitz,1625000,3
500020,Ben Abramowitz,1625000,4
500021,Benjamin Abramowitz,1625000,1
500022,Ross Abrams,1625000,2
500023,Ruth Abrams,1625000,3
500024,William Ross Abrams,1625000,4
500025,Nino Abranos,1625000,1
500026,Angel Abreu,1625000,2
500027,Tomma Abts,1625000,3
500028,Rodolfo Abularach,1625000,4
500029,Nicholas Acampora,1625000,1
500030,Vito Acconci,1625000,2
500031,Johann von Achen,1625000,3
500032,Hans Achenbach,1625000,4
500033,Keith Anden Achepohl,1625000,1
500034,Bogdan Achimescu,1625000,2
500035,Max Ackermann,1625000,3
500036,Rudolf Werner Ackermann,1625000,4
500037,Norman Ackroyd,1625000,1
500038,am ,1625000,2
500039,Franz Adam,1625000,3
500040,Jacob Adam,1625000,4
500041,James Adam,1625000,1
500042,Robert Adam,1625000,2
500043,Victor Adam,1625000,3
500044,William Adam,1625000,4
500045,Ansel Adams,1625000,1
500046,Ansel Easton Adams,1625000,2
500047,Clinton Adams,1625000,3
500048,Herbert Adams,1625000,4
500049,Jean Crawford Adams,1625000,1
500050,Kenneth Miller Adams,1625000,2
500051,Robert Adams,1625000,3
500052,Robert and Kerstin Adams,1625000,4
500053,Ron Adams,1625000,1
500054,Wayman Adams,1625000,2
500055,Robert Adamson,1625000,3
500056,Louis Emile Adan,1625000,4
500057,Craig Adcock,1625000,1
500058,Clifford Isaac Addams,1625000,2
500059,Lillian Adelman,1625000,3
500060,Luigi Ademollo,1625000,4
500061,Bas Jan Ader,1625000,1
500062,Henry Adlard,1625000,2
500063,Vosdanik Manook Adoian,1625000,3
500064,riano Fiorentino ,1625000,4
500065,Roy Adzak,1625000,1
500066,Willem van Aelst,1625000,2
500067,ro ,1625000,3
500068,tograf ,1625000,4
500069,Ignazio Agliaudo,1625000,1
500070,Agostino Aglio,1625000,2
500071,Augustine Aglio,1625000,3
500072,ostino di Duccio ,1625000,4
500073,Eduard Agricola,1625000,1
